District,Name,Server,Comments,,,,,,
ECD,ECDNLLLY-WHCP-C452-BW,\\ECDNLLONFSV01,ECDNLLLY-WHCP-C452-BW,,,,,,
ECD,Maintenance Shop,\\ECDNLLONFSV01,Maintenance Shop,,,,,,
AER,Accounting_Color,\\AERAZINTFSV01,Image Runner Color 5235,,,,,,
AER,AERO-iRC5235,\\AERAZINTFSV01,AERO-iRC5235,,,,,,
AER,AERO_Canon6255,\\AERAZINTFSV01,Engineering/Design,,,,,,
AER,CanoniR5570PCL5e,\\AERAZINTFSV01,Canon iR5570/iR6570 PCL5e,,,,,,
AER,CoronaColorCanon,\\AERAZINTFSV01,Corona Color Canon,,,,,,
AER,Design_BlackandWhite,\\AERAZINTFSV01,Canon IR6255,,,,,,
AER,HP Color LaserJet CP2020 Series PCL6,\\AERAZINTFSV01,HP Color LaserJet CP2020 Series PCL6,,,,,,
AER,HP LaserJet 42004300 PCL6,\\AERAZINTFSV01,HP LaserJet 4200/4300 PCL6,,,,,,
AER,HPLJ4300,\\AERAZINTFSV01,BS,,,,,,
AER,Reception_Color,\\AERAZINTFSV01,Toshiba 281C Color,,,,,,
AER,Service&Alarm,\\AERAZINTFSV01,Service&Alarm,,,,,,
KEU,KEUCMS,\\KEUTXHOUFSV01,"KEUTXHOUPTR06 - For printing from CMS DOS, DO NOT CHANGE NAME  ",,,,,,
KEU,SHDTXWOOPMF05,\\KEUTXHOUFSV01,Restricted - Marketing War Room,,,,,,
KEU,TUSTXHOUPMF01,\\KEUTXHOUFSV01,TUSTXHOU - Ricoh MPC6501 SP - Copy Room                        ,,,,,,
KEU,TUSTXHOUPMF02,\\KEUTXHOUFSV01,TUSTXHOU - Ricoh C6501SP - Copy Room                           ,,,,,,
KEU,TUSTXHOUPMF03,\\KEUTXHOUFSV01,TUSTXHOU - Ricoh MP 5001 - Estimating                          ,,,,,,
KEU,TUSTXHOUPMF04,\\KEUTXHOUFSV01,TUSTXHOU - Ricoh MP 5002 - Ops,,,,,,
KEU,TUSTXHOUPMF05,\\KEUTXHOUFSV01,TUSTXHOU - Ricoh MP C5000 - Estimating,,,,,,
KEU,TUSTXHOUPMF11,\\KEUTXHOUFSV01,TUSTXHOUPMF11 - MP C2551 - HR Area,,,,,,
KEU,TUSTXHOUPMF12,\\KEUTXHOUFSV01,TUSTXHOU - Ricoh MP2352 -Suite 275,,,,,,
KEU,TUSTXHOUPMF14,\\KEUTXHOUFSV01,2nd Floor - TUSTXHOUPMF14 - South,,,,,,
KEU,TUSTXHOUPMF15,\\KEUTXHOUFSV01,2ND FLOOR - Ricoh MP C4503 - North,,,,,,
KEU,TUSTXHOUPWF09,\\KEUTXHOUFSV01,TUSTXHOU - HP Designjet T1200 - Estimating,,,,,,
KEU,TUSTXHOUPWF10,\\KEUTXHOUFSV01,TUSTXHOU - Ricoh MP W3600 - Estimating,,,,,,
KEU,TUSTXHOUPWF12,\\KEUTXHOUFSV01,2nd Floor Plotter - Ricoh MP CW2200SP,,,,,,
AER,CanonColorPlotter,\\AERAZPHXFSV01,Aero district office design department color plotter iPF765,,,,,,
AER,HP LJ CP2025dn UPD PCL 6,\\AERAZPHXFSV01,IT room color laserjet,,,,,,
AER,HPLJ1200,\\AERAZPHXFSV01,HP LaserJet 1200 PCL 6,,,,,,
AER,HPLJ41N,\\AERAZPHXFSV01,Jetpipe packing list,,,,,,
AER,iR5000,\\AERAZPHXFSV01,Aero district office estimating department,,,,,,
AER,JET_LJ4100PCL5,\\AERAZPHXFSV01,Jetpipe packing list printer,,,,,,
AER,Jet_Packing List,\\AERAZPHXFSV01,"Set for two pages per sheet, duplex, landscape 8X11",,,,,,
AER,Service-TI-Estimating,\\AERAZPHXFSV01,Aero district office Service-TI-Estimating B/W,,,,,, 
AER,Service_and_Alarm_Dept,\\AERAZPHXFSV01,Aero district office Service Dept B/W,,,,,,
AER,TDS700,\\AERAZPHXFSV01,Design department plotter,,,,,,
GAN,HPLaserJet4200.Administration,\\GANQCTROFSV01,HPLaserJet4200.Administration,,,,,,
GAN,HPLaserJetC300.Qualite,\\GANQCTROFSV01,HPLaserJetC300.Qualite,,,,,,
GAN,HPLaserJetP4515.PAIES,\\GANQCTROFSV01,HPLaserJetP4515.PAIES,,,,,,
GAN,HPLaserJetP4515.Payable,\\GANQCTROFSV01,HPLaserJetP4515.Payable,,,,,,
GAN,RicohAficiMP201.Payable,\\GANQCTROFSV01,RicohAficiMP201.Payable,,,,,,
GAN,RicohAficio2550B.Atelier,\\GANQCTROFSV01,RicohAficio2550B.Atelier,,,,,,
GAN,RicohAficio2550B.Qualite,\\GANQCTROFSV01,RicohAficio2550B.Qualite,,,,,,
GAN,RicohAficioC2003.RH,\\GANQCTROFSV01,RicohAficioC2003.RH,,,,,,
GAN,RicohAficioC3300.Estimation,\\GANQCTROFSV01,RicohAficioC3300.Estimation,,,,,,
GAN,RicohAficioC4501.Administration,\\GANQCTROFSV01,RicohAficioC4501.Administration,,,,,,
