District,Letter,Path,Comment,,,,
TUS,,\\TUSTXEWTFSV01\MEC,,,,,
TUS,,\\TUSTXEWTFSV01\Scripts,,,,,
TUS,,\\TUSTXEWTFSV01\UpdateServicesPackages,A network share to be used by client systems for collecting all software,,,,
TUS,,\\TUSTXEWTFSV01\Users,,,,,
TUS,,\\TUSTXEWTFSV01\WsusContent,A network share to be used by Local Publishing to place published conten,,,,
TUS,,\\TUSTXEWTFSV01WSUSTemp,A network share used by Local Publishing from a Remote WSUS Console Inst,,,,
NOC,,\\NOCCAFSFFSV01\DATA,,,,,
NOC,,\\NOCCAFSFFSV01\NOCAdmin,,,,,
NOC,,\\NOCCAFSFFSV01\NOCCACSU_CMS,,,,,
NOC,,\\NOCCAFSFFSV01\Share,,,,,
NOC,,\\NOCCAFSFFSV01\Share2,,,,,
CCC,,\\CCCMNEDEFSV01\117-Chevron-ElSegundo,,,,,
CCC,,\\CCCMNEDEFSV01\119-Equilon,,,,,
CCC,,\\CCCMNEDEFSV01\120-Koch,,,,,
CCC,,\\CCCMNEDEFSV01\126-Sunoco,,,,,
CCC,,\\CCCMNEDEFSV01\127-Sunoco Eagle Point,,,,,
CCC,,\\CCCMNEDEFSV01\129-Woodriver,,,,,
CCC,,\\CCCMNEDEFSV01\130-WoodRiver,,,,,
CCC,,\\CCCMNEDEFSV01\131-Weston,,,,,
CCC,,\\CCCMNEDEFSV01\133-Tesoro,,,,,
CCC,,\\CCCMNEDEFSV01\134-WoodRiver,,,,,
CCC,,\\CCCMNEDEFSV01\136-WoodRiver,,,,,
CCC,,\\CCCMNEDEFSV01\137-SW2,,,,,
CCC,,\\CCCMNEDEFSV01\138-BRU,,,,,
CCC,,\\CCCMNEDEFSV01\139-SRG,,,,,
CCC,,\\CCCMNEDEFSV01\140-TVA,,,,,
CCC,,\\CCCMNEDEFSV01\143-BPH,,,,,
CCC,,\\CCCMNEDEFSV01\144-ConocoSCR,,,,,
CCC,,\\CCCMNEDEFSV01\145-Haynes,,,,,
CCC,,\\CCCMNEDEFSV01\146-WalnutCreek,,,,,
CCC,,\\CCCMNEDEFSV01\APPLIC,,,,,
CCC,,\\CCCMNEDEFSV01\Archives,,,,,
